review_id,product_id,category,rating,review_text,review_title,review_date,user_id,language
zh_0337500,product_zh_0931572,other,3,是第三方配送的，出差回来收到，包装很高大上，打开后做工也不错，但是音质么，真的太一般了。 除了运动听快节奏的音乐，估计其他作用不大。 但是蓝牙的确方便。所以也算到到要求了。 但是性价比真一般。。。。 可是，收到的第二天中午挂在脖子上出来，回来就不见了！！！！不见了！！！！ 姐姐用48小时还没到啊。那个什么磁铁功能啊！！！！哭死！！！ 另外第三方没有一起安排发票，打电话给亚马逊客服，态度很好的，说会安排后续寄出。,外形不错，但音质要求不能太高！！！,2026-06-01,reviewer_zh_0410983,zh
en_0525255,product_en_0286787,wireless,4,This phone case is exactly what I imagined it would be. The only negative is you have to take the case off to charge it on the wireless charger.,Great - can’t wireless charge in the case,2026-06-01,reviewer_en_0190258,en
ja_0304286,product_ja_0284545,pc,4,タッチタイピングの練習に購入しました。 キーの手応えがある感じ？です。,お安くて満足です。,2026-06-01,reviewer_ja_0665494,ja
ja_0034561,product_ja_0657187,pc,4,この手の商品のレビューを見ると不安ばかりでしたが、どうしてもスイッチを車内でやりたくて、hdmiのあるこの商品を購入しました。 実際に使ってみると、よくも悪くもレビュー通りで価格相応かと思いました。欲をいえばオンダッシュのスタンドがもう少ししっかりした作りだとうれしかったです。 後はちょくちょく車内で使うこともないので、普段室内で使って耐久性を見たいと思います。,まぁ～価格相応かな？,2026-06-01,reviewer_ja_0521525,ja
zh_0832854,product_zh_0887728,apparel,3,8月2日下的订单，8月10日中午到货，如果是从国外寄回来，速度就真的很快了，如果是国内发货的话……皮带的质量摸上去还可以，但是扫描条形码是没有任何信息的，至于是真货还是假货自己去思考和判断吧……,真货还是假货自己判断,2026-06-01,reviewer_zh_0505409,zh
ja_0918863,product_ja_0813772,book,4,知らなかった事が多いので、大変勉強になりました。良く調べているなと感心しました。,勉強になります,2026-06-01,reviewer_ja_0743887,ja
en_0404542,product_en_0996656,home_improvement,4,Exactly as described.,Not an install,2026-06-01,reviewer_en_0720708,en
fr_0668604,product_fr_0406068,home,3,Pas assez si le matelas est mince,Pas assez,2026-06-01,reviewer_fr_0482897,fr
de_0422544,product_de_0655337,book,5,Tolles Buch mit vielen guten Anregungen,Wichtig für jeden Fotografen,2026-06-01,reviewer_de_0487918,de
fr_0522515,product_fr_0088800,wireless,1,"La fiche n'a pas le même écart que celui de mon rasoir Philips et même en taillant au cutter le centre de la fiche pour l'écarter , une fois branché sur le rasoir, le courant me passe pas. Achat non remboursable donc et article inutile.",branchement impossible !,2026-06-01,reviewer_fr_0537711,fr
es_0969621,product_es_0418147,home,5,"nos ha gustado un monton, mi hija esta encantada de la vida",es muy utili,2026-06-01,reviewer_es_0478917,es
ja_0382514,product_ja_0211528,office_product,1,配達完了しているみたいですが、宅配ボックスの暗証番号が、知らされていません。したがってボックスを開けることができません。どうしたら良いのですか？ 伝票等は投函されていませんでした。,暗証番号がわかりません。,2026-06-01,reviewer_ja_0751943,ja
